week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
1959-03-30,Venus,Frankie Avalon,,,
1959-04-06,Come Softly To Me,The Fleetwoods,,,
1959-04-13,Come Softly To Me,The Fleetwoods,,,
1959-04-20,Come Softly To Me,The Fleetwoods,,,
1959-04-27,Come Softly To Me,The Fleetwoods,,,
1959-05-04,The Happy Organ,"Dave ""baby"" Cortez",,,
1959-05-11,Kansas City,Wilbert Harrison,,,
1959-05-18,Kansas City,Wilbert Harrison,,,
1959-05-25,The Battle Of New Orleans,Johnny Horton,,,
1959-06-01,The Battle Of New Orleans,Johnny Horton,,Seventeen Magazine June 1959,
1959-06-08,The Battle Of New Orleans,Johnny Horton,,,
1959-06-15,The Battle Of New Orleans,Johnny Horton,,,
1959-06-22,The Battle Of New Orleans,Johnny Horton,,,
1959-06-29,The Battle Of New Orleans,Johnny Horton,,,
1959-07-06,Lonely Boy,Paul Anka,,,
1959-07-13,Lonely Boy,Paul Anka,,,
1959-07-20,Lonely Boy,Paul Anka,,,
1959-07-27,Lonely Boy,Paul Anka,,,
1959-08-03,A Big Hunk O' Love,Elvis Presley,,,
1959-08-10,A Big Hunk O' Love,Elvis Presley,,,
1959-08-17,The Three Bells,The Browns,,,
1959-08-24,The Three Bells,The Browns,,,
1959-08-31,The Three Bells,The Browns,,,
1959-09-07,The Three Bells,The Browns,,,
1959-09-14,Sleep Walk,Santo,,,
1959-09-21,Sleep Walk,Santo,,,
1959-09-28,Mack The Knife,Bobby Darin,,,
1959-10-05,Mack The Knife,Bobby Darin,,,
1959-10-12,Mack The Knife,Bobby Darin,,,
1959-10-19,Mack The Knife,Bobby Darin,,,
1959-10-26,Mack The Knife,Bobby Darin,,,
1959-11-02,Mack The Knife,Bobby Darin,,,
1959-11-09,Mr. Blue,The Fleetwoods,,,
1959-11-16,Mack The Knife,Bobby Darin,,,
1959-11-23,Mack The Knife,Bobby Darin,,,
1959-11-30,Mack The Knife,Bobby Darin,,,
1959-12-07,Heartaches By The Number,Guy Mitchell,,,
1959-12-14,Heartaches By The Number,Guy Mitchell,,,
1959-12-21,Why,Frankie Avalon,,,
1959-12-28,El Paso,Marty Robbins,,"""The Flintstones"" on TV Guide; Billboard; Billboard February 22-1960; Catholics in conversation; seventeen interviews with leading American Catholics; Clinical Orthopaedics(number Seventeen)",
1960-01-04,El Paso,Marty Robbins,,,
1960-01-11,Running Bear,Johnny Preston,,,
1960-01-18,Running Bear,Johnny Preston,,,
1960-01-25,Running Bear,Johnny Preston,,,
1960-02-01,Teen Angel,Mark Dinning,,,
1960-02-08,Teen Angel,Mark Dinning,,,
1960-02-15,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-02-22,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-02-29,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-03-07,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-03-14,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-03-21,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-03-28,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-04-04,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-04-11,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,,,
1960-04-18,Stuck On You,Elvis Presley,,,
1960-04-25,Stuck On You,Elvis Presley,,,
1960-05-02,Stuck On You,Elvis Presley,,,
1960-05-09,Stuck On You,Elvis Presley,,,
1960-05-16,Cathy's Clown,The Everly Brothers,,,
1960-05-23,Cathy's Clown,The Everly Brothers,,,
1960-05-30,Cathy's Clown,The Everly Brothers,,,
1960-06-06,Cathy's Clown,The Everly Brothers,,,
1960-06-13,Cathy's Clown,The Everly Brothers,,,
1960-06-20,Everybody's Somebody's Fool,Connie Francis,,,
1960-06-27,Everybody's Somebody's Fool,Connie Francis,,,
1960-07-04,Alley-Oop,Hollywood Argyles,,,
1960-07-11,I'm Sorry,Brenda Lee,,,
